자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,모델명,상품 요약설명,상품 상세설명,소비자가,공급가,상품가,판매가,검색엔진최적화(SEO) 검색엔진 노출 설정
108462,Y,Y,570|571|592|850,N|N|N|N,N|N|N|N,두리파크빌,"37.5487,126.973646",서울시 용산구 갈월동,14세대/총 1동/2004.05.06/52.87㎡~118.29㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">14세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">4층/5층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2004년 05월 06일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">15대(세대당 1.07대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">242%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">59%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">(주)신도시토건</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 갈월동 6-48</p>
                                    <p class=""address"">서울시 용산구 한강대로102나길 23</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">52㎡, 72㎡, 75㎡, 86㎡, 91A㎡, 91B㎡, 102㎡, 118㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
108983,Y,Y,570|571|592|852,N|N|N|N,N|N|N|N,도원,"37.538926,126.958437",서울시 용산구 도원동,17세대/총 1동/1983.03.21/41.46㎡~41.5㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">17세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">5층/5층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">1983년 03월 21일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">0대(세대당 0.0대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">291%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">56%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 도원동 3-7</p>
                                    <p class=""address"">서울시 용산구 새창로12길 11-15</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">41B㎡, 41C㎡, 41A㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
3459,Y,Y,570|571|592|852,N|N|N|N,N|N|N|N,도원삼성래미안,"37.538411,126.955287",서울시 용산구 도원동,1458세대/총 15동/2001.08.03/46.28㎡~142.04㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">1458세대(총 15동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">20층/22층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2001년 08월 03일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">1974대(세대당 1.35대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">289%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">20%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">삼성물산(주)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">02-6352-4746</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 도원동 23</p>
                                    <p class=""address"">서울시 용산구 새창로 70</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">81㎡, 108A㎡, 108B㎡, 142B㎡, 142A㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
16325,Y,Y,570|571|592|852,N|N|N|N,N|N|N|N,제일,"37.539103,126.958117",서울시 용산구 도원동,34세대/총 1동/1971.06.02/45.26㎡~45.45㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">34세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">5층/5층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">1971년 06월 02일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">0대(세대당 0.0대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">0%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">0%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">제일건설</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 도원동 3-4</p>
                                    <p class=""address"">서울시 용산구 새창로12길 11-7</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">45A㎡, 45C㎡, 45B㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
100490,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,노블캐슬,"37.527824,126.993618",서울시 용산구 동빙고동,14세대/총 1동/2008.10.01/178.63㎡~314.16㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">14세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">7층/7층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2008년 10월 01일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">34대(세대당 2.42대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">199%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">40%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">경암토건주식회사</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 310-10</p>
                                    <p class=""address"">서울시 용산구 장문로 30</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">178A㎡, 179B㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
107267,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,라이온스,"37.528106,126.992969",서울시 용산구 동빙고동,14세대/총 1동/1972.09.04/107.1㎡~186.53㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">14세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">5층/5층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">1972년 09월 04일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">0대(세대당 0.0대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">0%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">0%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 310-17</p>
                                    <p class=""address"">서울시 용산구 None</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">107㎡, 151A㎡, 153B㎡, 164㎡, 186㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
142438,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,베네띠앙펠리스빌,"37.528371,126.995711",서울시 용산구 동빙고동,15세대/총 2동/2001.10.17/133.66㎡~263.37㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">15세대(총 2동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">4층/4층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2001년 10월 17일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">35대(세대당 2.33대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">199%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">57%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 1-34</p>
                                    <p class=""address"">서울시 용산구 장문로9가길 21</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">133㎡, 168㎡, 174C㎡, 174A㎡, 175B㎡, 204A㎡, 205B㎡, 207A㎡, 208B㎡, 229㎡, 263㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
110258,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,아울스타운,"37.528461,126.995465",서울시 용산구 동빙고동,15세대/총 1동/2003.01.13/107.99㎡~225.14㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">15세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">5층/5층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2003년 01월 13일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">34대(세대당 2.26대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">272%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">59%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">(주)시티영화산업개발</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 1-44</p>
                                    <p class=""address"">서울시 용산구 장문로9가길 19</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">107㎡, 153㎡, 161㎡, 166㎡, 170A㎡, 172B㎡, 181㎡, 187A㎡, 187B㎡, 199㎡, 201㎡, 215㎡, 216㎡, 225㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
23979,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,현대플라티앙2,"37.527036,126.996412",서울시 용산구 동빙고동,14세대/총 1동/2004.11.26/133.73㎡~155.67㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">14세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">7층/7층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2004년 11월 26일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">25대(세대당 1.78대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">0%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">0%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">현대리모델링(주)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 1-14</p>
                                    <p class=""address"">서울시 용산구 장문로9길 65</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">133㎡, 155㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
103717,Y,Y,570|571|592|853,N|N|N|N,N|N|N|N,현대플래티앙1,"37.527282,126.995594",서울시 용산구 동빙고동,12세대/총 1동/2004.11.18/127.42㎡~228.15㎡,"<table class=""infoTable_wrap"">
                        <caption>
                            단지 정보
                        </caption>
                        <tbody>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">세대수</th>
                                <td class=""table_td"">12세대(총 1동)</td>
                                <th class=""table_th"" scope=""row"">저/최고층</th>
                                <td class=""table_td"">7층/7층</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">사용승인일</th>
                                <td class=""table_td"">2004년 11월 18일</td>
                                <th class=""table_th"" scope=""row"">총주차대수</th>
                                <td class=""table_td"">21대(세대당 1.75대)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">용적률</th>
                                <td class=""table_td"">0%</td>
                                <th class=""table_th"" scope=""row"">건폐율</th>
                                <td class=""table_td"">0%</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">건설사</th>
                                <td class=""table_td"" colspan=""3"">현대리모델링(주)</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">난방</th>
                                <td class=""table_td"" colspan=""3"">개별난방, 도시가스</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">관리사무소</th>
                                <td class=""table_td"" colspan=""3"">None</td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">주소</th>
                                <td class=""table_td"" colspan=""3"">
                                    <p class=""address"">서울시 용산구 동빙고동 1-67</p>
                                    <p class=""address"">서울시 용산구 장문로 47</p>
                                </td>
                            </tr>
                            <tr class=""infoTable_item"">
                                <th class=""table_th"" scope=""row"">면적</th>
                                <td class=""table_td"" colspan=""3"">
                                    <div class=""table_td_area"">127㎡, 140㎡, 161㎡, 228㎡</div>
                                </td>
                            </tr>
                        </tbody>
                    </table>",0.0,0.0,0.0,0.0,N
